stop_id,stop_name,stop_lat,stop_lon
"8250DB004705","St Helen's Road, stop 4705","53.3108182690603","-6.20007706605352"
"8250DB000475","Bellevue Avenue, stop 475","53.312706162538","-6.20188867460386"
"8220DB000476","Merrion Gates, stop 476","53.3157515263735","-6.20476252273258"
"8220DB000477","Herbert Avenue, stop 477","53.3168630546851","-6.20695232009327"
"8220DB000478","St Vincent's Hosp, stop 478","53.3181142989183","-6.21126782530883"
"8220DB000479","Merrion Centre, stop 479","53.3191439676238","-6.21340128669965"
"8220DB000480","Netherlands Embassy, stop 480","53.32084997999","-6.21628720536765"
"8220DB000481","Wanderers FC, stop 481","53.3223446397574","-6.21826644297952"
"8220DB000482","Shrewsbury Road, stop 482","53.3247277780876","-6.22196529496766"
"8220DB000483","British Embassy, stop 483","53.3259441074967","-6.22397148052323"
"8220DB000485","RDS Ballsbridge, stop 485","53.3282515101299","-6.22863497077614"
"8220DB000487","American Embassy, stop 487","53.3308552893834","-6.23390230837204"
"8220DB000488","Lansdowne Park, stop 488","53.333098554632","-6.23607694701102"
"8220DB000489","St Mary's Rd South, stop 489","53.3349420031478","-6.23735231265615"
"8220DB000490","Haddington Road, stop 490","53.3365738419154","-6.23890680600162"
"8220DB000491","Mount Street Bridge, stop 491","53.3378140535117","-6.24133351088669"
"8220DB000492","Mount Street Lower, stop 492","53.3385846851446","-6.24361446215904"
"8220DB000493","Holles Street, stop 493","53.3398534163799","-6.24737682273893"
"8220DB000494","Clare Street, stop 494","53.341435583359","-6.25168225233912"
"8220DB000495","Pearse Station, stop 495","53.3435913198155","-6.24974670516899"
"8220DB000400","Shaw Street, stop 400","53.344846483913","-6.25320984701663"
"8220DB000281","O'Connell St Upper, stop 281","53.3513435349612","-6.26111600843156"
"8220DB000004","Parnell Square West, stop 4","53.3525745131874","-6.26417548603793"
"8220DB004962","Mountjoy Square, stop 4962","53.3569939338404","-6.25843708602609"
"8220DB007149","IKEA, stop 7149","53.4072962623839","-6.27799727211912"
"8220DB007277","St Margaret's Road, stop 7277","53.4060008285976","-6.28041102974887"
"8220DB006363","Hampton Wood, stop 6363","53.4061452136716","-6.28795578802025"
"8220DB006361","Jamestown Road, stop 6361","53.4059486027501","-6.29179911788339"
"8220DB006367","Hampton Wood Road, stop 6367","53.4038763115708","-6.29144598182622"
"8220DB004985","Lanesborough Estate, stop 4985","53.402320989219","-6.29141806931841"
"8240DB006219","St Margaret's Road, stop 6219","53.3998364912388","-6.29303653633851"
"8240DB006229","Melville, stop 6229","53.4020463209123","-6.29861797097506"
"8240DB006364","Century Business Pk, stop 6364","53.4025827574796","-6.30157442717954"
"8220DB001558","McKelvey Avenue, stop 1558","53.3998175109952","-6.30305309451753"
"8220DB004542","Finglas Road, stop 4542","53.3866641413239","-6.29709664327809"
"8220DB001531","Clearwater SC, stop 1531","53.3837436640296","-6.29336474093081"
"8220DB001532","Prospect Hill, stop 1532","53.3817441172312","-6.29055850090001"
"8220DB001533","Tolka Vale, stop 1533","53.3789678847602","-6.28749808800206"
"8220DB001534","Ballyboggan Road, stop 1534","53.3753328391602","-6.28597560287492"
"8220DB001535","The Willows, stop 1535","53.3723059581397","-6.28236994393795"
"8220DB001536","Glasnevin Cemetery, stop 1536","53.3695033971709","-6.27687723281354"
"8220DB001537","St Vincent's School, stop 1537","53.3680662049802","-6.27320839893696"
"8220DB000186","Lindsay Grove, stop 186","53.3653553426373","-6.27158997755113"
"8220DB000187","Phibsborough Road, stop 187","53.3627342523627","-6.27244736533827"
"8220DB000188","North Circular Road, stop 188","53.3601206877577","-6.27258314915006"
"8220DB000189","Fire Station, stop 189","53.3571674394906","-6.27346881555335"
"8220DB000190","Broadstone, stop 190","53.3551257304168","-6.2733710740057"
"8220DB000191","Western Way, stop 191","53.3550179485778","-6.26903378050287"
"8220DB000819","Blessington Street, stop 819","53.3563040208513","-6.26599198569768"
"8220DB000264","Parnell Square East, stop 264","53.3535353026736","-6.26225862681687"
"8220DB006059","The Spire of Dublin, stop 6059","53.3502244282738","-6.26018517538047"
"8220DB000334","D'Olier Street, stop 334","53.3465811562075","-6.25812559112211"
"8220DB007581","Dame Street, stop 7581","53.3441585614977","-6.26334590761396"
"8220DB001283","S Great George's St, stop 1283","53.3418087219088","-6.26492822950029"
"8220DB007579","Redmond's Hill, stop 7579","53.3382457820909","-6.26591384363467"
"8220DB001285","Camden Street Lower, stop 1285","53.3343784055905","-6.26512475425716"
"8220DB001016","South Richmond St, stop 1016","53.3311593141903","-6.26441458035507"
"8220DB001017","Rathmines Rd Lower, stop 1017","53.3292996511616","-6.26447506533579"
"8220DB001018","St Mary's College, stop 1018","53.3275854590935","-6.26464974527369"
"8220DB001019","Military Road, stop 1019","53.3265475976236","-6.26497711774675"
"8220DB001020","Rathmines, stop 1020","53.3251383837983","-6.26510936447961"
"8220DB001076","Swan Centre, stop 1076","53.3231305919137","-6.26549106260878"
"8220DB001021","Rathmines Rd Upper, stop 1021","53.3213802466097","-6.26565212597855"
"8220DB006042","Church Avenue, stop 6042","53.3201481073068","-6.26498157906185"
"8220DB001022","Summerville Park, stop 1022","53.3195217438279","-6.26455667416159"
"8220DB001023","Rathmines Close, stop 1023","53.3170461890208","-6.26491228899517"
"8220DB001024","Frankfort Avenue, stop 1024","53.3158523430772","-6.26502075611143"
"8220DB000895","Palmeston Villas, stop 895","53.3139322642602","-6.26401801846624"
"ONIGHT-STOP1","Test stop for overnight trip, stop 1","53.3170461890208","-6.26491228899517"
"ONIGHT-STOP2","Test stop for overnight trip, stop 2","53.3158523430772","-6.26502075611143"
